field,empl_male,empl_female,post_male,post_female
agri_natural,78000,66000,42750,44000
bio_biomedical,75000,66000,42000,42000
health_sciences,75000,75000,43000,43250
chemistry,80000,75000,42000,42000
geo_atm_ocean,75167,71750,50000,50000
psy_astro,95000,97650,50000,53000
math_com,105000,90000,58000,55000
psych,63000,60000,42000,42000
econ,105000,95750,65000,65000
social,64000,62000,48000,49250
engine,95000,90000,45000,45000
education,71000,63000,50000,45000
hum_art,52000,50000,45000,45000
busi_admin,123500,120000,60000,63500
non_SE,62800,61000,50000,44000
